**********START:03/14/2023 15:27:31**********
{'time': '03/14/2023 15:28:18', 'total_params': 2380675, 'ratio': 1.0, 'loss': 1.0897403955459595, 'accuracy': 0.39759036898612976, 'precision': 0.0, 'recall': 0.0, 'auc': 0.5542168617248535, 'prc': 0.37366753816604614, 'seed': 0}
{'time': '03/14/2023 15:30:10', 'total_params': 2380675, 'ratio': 2.0, 'loss': 1.1078376770019531, 'accuracy': 0.3333333432674408, 'precision': 0.0, 'recall': 0.0, 'auc': 0.5260416865348816, 'prc': 0.34266290068626404, 'seed': 0}
{'time': '03/14/2023 15:34:40', 'total_params': 2380675, 'ratio': 3.0, 'loss': 1.1491178274154663, 'accuracy': 0.3287671208381653, 'precision': 0.30324074625968933, 'recall': 0.30324074625968933, 'auc': 0.5273972749710083, 'prc': 0.3418867588043213, 'seed': 0}
{'time': '03/14/2023 15:36:17', 'total_params': 2380675, 'ratio': 1.0, 'loss': 1.095458984375, 'accuracy': 0.3855421543121338, 'precision': 0.0, 'recall': 0.0, 'auc': 0.5240963697433472, 'prc': 0.3584160804748535, 'seed': 1}
{'time': '03/14/2023 15:37:50', 'total_params': 2380675, 'ratio': 2.0, 'loss': 1.1054362058639526, 'accuracy': 0.3295454680919647, 'precision': 0.0, 'recall': 0.0, 'auc': 0.534510612487793, 'prc': 0.34540385007858276, 'seed': 1}
{'time': '03/14/2023 15:40:36', 'total_params': 2380675, 'ratio': 3.0, 'loss': 1.146203875541687, 'accuracy': 0.3298968970775604, 'precision': 0.25, 'recall': 0.25, 'auc': 0.5412371158599854, 'prc': 0.34738099575042725, 'seed': 1}
{'time': '03/14/2023 15:42:16', 'total_params': 2380675, 'ratio': 1.0, 'loss': 1.0774614810943604, 'accuracy': 0.4457831382751465, 'precision': 0.0, 'recall': 0.0, 'auc': 0.5843373537063599, 'prc': 0.40365123748779297, 'seed': 2}
{'time': '03/14/2023 15:44:23', 'total_params': 2380675, 'ratio': 2.0, 'loss': 1.1175103187561035, 'accuracy': 0.3333333432674408, 'precision': 0.0, 'recall': 0.0, 'auc': 0.5199073553085327, 'prc': 0.3409445285797119, 'seed': 2}
{'time': '03/14/2023 15:48:11', 'total_params': 2380675, 'ratio': 3.0, 'loss': 1.1486420631408691, 'accuracy': 0.3333333432674408, 'precision': 0.3639706075191498, 'recall': 0.3639706075191498, 'auc': 0.5308641791343689, 'prc': 0.3444444239139557, 'seed': 2}
{'time': '03/14/2023 15:49:53', 'total_params': 2380675, 'ratio': 1.0, 'loss': 1.0881805419921875, 'accuracy': 0.40963855385780334, 'precision': 0.0, 'recall': 0.0, 'auc': 0.5542169213294983, 'prc': 0.3780589699745178, 'seed': 3}
{'time': '03/14/2023 15:51:22', 'total_params': 2380675, 'ratio': 2.0, 'loss': 1.1014070510864258, 'accuracy': 0.32926830649375916, 'precision': 0.0, 'recall': 0.0, 'auc': 0.5365853905677795, 'prc': 0.34545084834098816, 'seed': 3}
{'time': '03/14/2023 15:54:01', 'total_params': 2380675, 'ratio': 3.0, 'loss': 1.1421661376953125, 'accuracy': 0.32926830649375916, 'precision': 0.0, 'recall': 0.0, 'auc': 0.5304878354072571, 'prc': 0.34317082166671753, 'seed': 3}
{'time': '03/14/2023 15:56:03', 'total_params': 2380675, 'ratio': 1.0, 'loss': 1.061127781867981, 'accuracy': 0.45783132314682007, 'precision': 0.0, 'recall': 0.0, 'auc': 0.6327478885650635, 'prc': 0.49711787700653076, 'seed': 4}
{'time': '03/14/2023 15:58:02', 'total_params': 2380675, 'ratio': 2.0, 'loss': 1.1087260246276855, 'accuracy': 0.3291139304637909, 'precision': 0.0, 'recall': 0.0, 'auc': 0.5316455960273743, 'prc': 0.34355905652046204, 'seed': 4}
{'time': '03/14/2023 16:01:13', 'total_params': 2380675, 'ratio': 3.0, 'loss': 1.1797221899032593, 'accuracy': 0.3333333432674408, 'precision': 0.3333333432674408, 'recall': 0.3333333432674408, 'auc': 0.4999999701976776, 'prc': 0.3333333432674408, 'seed': 4}
{'time': '03/14/2023 16:02:50', 'total_params': 2380675, 'ratio': 1.0, 'loss': 1.085733413696289, 'accuracy': 0.4457831382751465, 'precision': 0.0, 'recall': 0.0, 'auc': 0.5301204919815063, 'prc': 0.38373059034347534, 'seed': 5}
{'time': '03/14/2023 16:05:08', 'total_params': 2380675, 'ratio': 2.0, 'loss': 1.1158037185668945, 'accuracy': 0.3298968970775604, 'precision': 0.0, 'recall': 0.0, 'auc': 0.5103092789649963, 'prc': 0.3359939455986023, 'seed': 5}
{'time': '03/14/2023 16:09:08', 'total_params': 2380675, 'ratio': 3.0, 'loss': 1.1451778411865234, 'accuracy': 0.3333333432674408, 'precision': 0.3272058963775635, 'recall': 0.3272058963775635, 'auc': 0.549382746219635, 'prc': 0.35144197940826416, 'seed': 5}
