**********START:03/14/2023 15:27:31**********
{'time': '03/14/2023 15:28:50', 'total_params': 1, 'ratio': 1.0, 'loss': 0.0, 'accuracy': 0.7108433842658997, 'precision': 0.7876262664794922, 'recall': 0.5186403393745422, 'auc': 0.8730584979057312, 'prc': 0.789252758026123, 'seed': 0}
{'time': '03/14/2023 15:30:50', 'total_params': 1, 'ratio': 2.0, 'loss': 0.0, 'accuracy': 0.65625, 'precision': 0.7805555462837219, 'recall': 0.4895833432674408, 'auc': 0.854736328125, 'prc': 0.7615095973014832, 'seed': 0}
{'time': '03/14/2023 15:35:20', 'total_params': 1, 'ratio': 3.0, 'loss': 0.0, 'accuracy': 0.6301369667053223, 'precision': 0.625, 'recall': 0.4548611342906952, 'auc': 0.8196190595626831, 'prc': 0.7254499197006226, 'seed': 0}
{'time': '03/14/2023 15:36:49', 'total_params': 1, 'ratio': 1.0, 'loss': 0.0, 'accuracy': 0.6987951993942261, 'precision': 0.8608323931694031, 'recall': 0.5646929740905762, 'auc': 0.884235680103302, 'prc': 0.8227527737617493, 'seed': 1}
{'time': '03/14/2023 15:38:24', 'total_params': 1, 'ratio': 2.0, 'loss': 0.0, 'accuracy': 0.6136363744735718, 'precision': 0.779411792755127, 'recall': 0.4513889253139496, 'auc': 0.8263494372367859, 'prc': 0.7382776141166687, 'seed': 1}
{'time': '03/14/2023 15:41:27', 'total_params': 1, 'ratio': 3.0, 'loss': 0.0, 'accuracy': 0.6494845151901245, 'precision': 0.5573717951774597, 'recall': 0.4375, 'auc': 0.8711075186729431, 'prc': 0.7876038551330566, 'seed': 1}
{'time': '03/14/2023 15:43:01', 'total_params': 1, 'ratio': 1.0, 'loss': 0.0, 'accuracy': 0.7831325531005859, 'precision': 0.8041414618492126, 'recall': 0.5707237124443054, 'auc': 0.8946508765220642, 'prc': 0.8278387188911438, 'seed': 2}
{'time': '03/14/2023 15:45:20', 'total_params': 1, 'ratio': 2.0, 'loss': 0.0, 'accuracy': 0.7222222089767456, 'precision': 0.8432539105415344, 'recall': 0.495192289352417, 'auc': 0.8833333253860474, 'prc': 0.8320631980895996, 'seed': 2}
{'time': '03/14/2023 15:49:11', 'total_params': 1, 'ratio': 3.0, 'loss': 0.0, 'accuracy': 0.6666666865348816, 'precision': 0.807487964630127, 'recall': 0.6390931606292725, 'auc': 0.8635497689247131, 'prc': 0.7736065983772278, 'seed': 2}
{'time': '03/14/2023 15:50:29', 'total_params': 1, 'ratio': 1.0, 'loss': 0.0, 'accuracy': 0.7951807379722595, 'precision': 0.9166666865348816, 'recall': 0.6513157486915588, 'auc': 0.940049409866333, 'prc': 0.9030826091766357, 'seed': 3}
{'time': '03/14/2023 15:51:59', 'total_params': 1, 'ratio': 2.0, 'loss': 0.0, 'accuracy': 0.707317054271698, 'precision': 0.9110671877861023, 'recall': 0.5358796119689941, 'auc': 0.9096148014068604, 'prc': 0.8555711507797241, 'seed': 3}
{'time': '03/14/2023 15:55:05', 'total_params': 1, 'ratio': 3.0, 'loss': 0.0, 'accuracy': 0.7317073345184326, 'precision': 0.8020312786102295, 'recall': 0.6076388955116272, 'auc': 0.8752602338790894, 'prc': 0.8067818284034729, 'seed': 3}
{'time': '03/14/2023 15:57:06', 'total_params': 1, 'ratio': 1.0, 'loss': 0.0, 'accuracy': 0.7951807379722595, 'precision': 0.9055957794189453, 'recall': 0.5882675647735596, 'auc': 0.91141676902771, 'prc': 0.8685357570648193, 'seed': 4}
{'time': '03/14/2023 15:59:12', 'total_params': 1, 'ratio': 2.0, 'loss': 0.0, 'accuracy': 0.7341772317886353, 'precision': 0.9062049388885498, 'recall': 0.5868055820465088, 'auc': 0.8964909911155701, 'prc': 0.8477085828781128, 'seed': 4}
{'time': '03/14/2023 16:02:05', 'total_params': 1, 'ratio': 3.0, 'loss': 0.0, 'accuracy': 0.6041666865348816, 'precision': 0.7062802314758301, 'recall': 0.53125, 'auc': 0.8207735419273376, 'prc': 0.7267695069313049, 'seed': 4}
{'time': '03/14/2023 16:03:28', 'total_params': 1, 'ratio': 1.0, 'loss': 0.0, 'accuracy': 0.7469879388809204, 'precision': 0.8095238208770752, 'recall': 0.5756579041481018, 'auc': 0.8674699664115906, 'prc': 0.7803693413734436, 'seed': 5}
{'time': '03/14/2023 16:06:00', 'total_params': 1, 'ratio': 2.0, 'loss': 0.0, 'accuracy': 0.7113401889801025, 'precision': 0.8354742527008057, 'recall': 0.6640625, 'auc': 0.8632161021232605, 'prc': 0.7527605891227722, 'seed': 5}
{'time': '03/14/2023 16:10:04', 'total_params': 1, 'ratio': 3.0, 'loss': 0.0, 'accuracy': 0.6913580298423767, 'precision': 0.8275613784790039, 'recall': 0.591911792755127, 'auc': 0.8888508081436157, 'prc': 0.81961989402771, 'seed': 5}
