Name,binding
9F2,False
K1B12,False
10I,False
7F,False
JMpFv2-40,False
JA1.9,False
TR1.10,False
TR1.3,False
TR1.6,False
TR1.8,False
TR1.9,False
WR4.10,False
WR4.25,False
WR4.32,False
WR4.35,False
8155258_D5,False
RT79,False
0-16,False
SpA2-08,False
SpA3-02,False
SpA3-08,False
BL29,False
BL36,False
BL41,False
C6PM10,False
C6PM11,False
C6PM12,False
C6PM13,False
C6PM2,False
C6PM3,False
C6PM4,False
C6PM5,False
C6PM6,False
C6PM7,False
C6PM8,False
C6PM9,False
Tgk1,False
Tgk4,False
Tgk5,False
Tgl10,False
Tgl9,False
STMAG,False
AD4-18,False
AD4-37,False
EW1,False
EW3,False
EW4,False
126A,False
126C,False
126D,False
126F,False
126G,False
126H,False
126TO1,False
126TO10,False
126TO15,False
126TO2,False
126TO6,False
126TO8,False
126TO9,False
126TP13,False
126TP15,False
126TP5,False
126TP6,False
126TP7,False
126TP8,False
126TP9,False
B1F8B5,False
B2E9D5,False
FD2,False
MC56,False
MC57,False
MCA1,False
MCB11,False
S12G10,False
S2E4,False
Z5scFv3,False
Z5scFv7,False
pComb3-GG-ia30,False
pComb3-GG-ib02,False
pComb3-GG-ib29,False
pComb3-LO-ie02,False
pComb3-LO-ie06,False
pComb3-LO-ie10,False
pComb3-LO-ie19,False
pComb3-LO-ie21,False
pComb3-LO-ie31,False
pComb3-LO-ie39,False
pComb3-LO-ie46,False
pComb3-LO-or05,False
pComb3-LO-or19,False
pComb3-LO-or26,False
pComb3-LO-or60,False
pComb3-LO-or84,False
pComb3-NK-ib02,False
pComb3-NK-ib07,False
pComb3-NK-ib22,False
9887257_D11,False
9887257_D4,False
9887257_D5,False
9887257_D6,False
9887257_D9,False
D1,False
D10,False
D102,False
D103,False
D104,False
D105,False
D107,False
D108,False
D110,False
D115,False
D117,False
D119,False
D123,False
D126,False
D13,False
D14,False
D19,False
D20,False
D21,False
D23,False
D28,False
D3,False
D31,False
D34,False
D36,False
D37,False
D38,False
D41,False
D47,False
D52,False
D54,False
D56,False
D57,False
D60,False
D62,False
D63,False
D65,False
D67,False
D68,False
D7,False
D72,False
D78,False
D79,False
D85,False
D87,False
D90,False
D94,False
CHOI11,False
CHOI3,False
CHOI8,False
B220,False
E244,False
17,False
27,False
53,False
60,False
85,False
ICA1,False
ICA5,False
ICB7,False
3PB2,False
3PC4,False
3PF12,False
VK34,False
VK41,False
MD01,False
MD02,False
MD04,False
MD05,False
MD06,False
MD07,False
MD08,False
MD09,False
MD10,False
MD11,False
1_11,False
1_5,False
1_7,False
10993933_A12,False
10993933_A8,False
10993933_L3,False
L1,False
shi08,False
shi21,False
shi44,False
shi51,False
shi55,False
shi58,False
shi89,False
KM33,False
KM35,False
KM36,False
KM37,False
KM38,False
KM41,False
14.1,False
14.2,False
14.3,False
14.4,False
23F.1,False
23F.2,False
6B.1,False
M1-11,False
M1-22,False
M1-28,False
M1-40,False
M1-45,False
M1-57,False
M1-6,False
M1-74,False
M1-77,False
M1u-04,False
M1u-06,False
M1u-07,False
M1u-08,False
M1u-10,False
M2-24,False
M2-4,False
M2-45,False
M2u-01,False
M2u-04,False
M2u-05,False
M2u-06,False
M2u-07,False
M2u-10,False
T2.11,False
T2.2,False
T2.5,False
T2.6,False
T2.7,False
T3.10,False
T3.13,False
T3.15,False
T3.2,False
T3.3,False
T3.4,False
T3.5,False
T3.7,False
TF2.10,False
TF2.3,False
TF2.4,False
TF2.6,False
TF3.12,False
TF3.14,False
TF3.19,False
11606439_A10,False
11606439_A12,False
11606439_A2,False
11606439_A4,False
11606439_A6,False
11606439_A7,False
11606439_A8,False
11606439_B1,False
11606439_B10,False
11606439_B11,False
11606439_B2,False
11606439_B4,False
11606439_B5,False
11606439_B6,False
A1,False
A17,False
A3,False
A5,False
A9,False
B3,False
B7,False
B9,False
T1,False
T10,False
T11,False
T12,False
T13,False
T2,False
T3,False
T4,False
T5,False
T6,False
T7,False
T9,False
LTMalpha-15,False
LTMalpha-35,False
EBA11,False
EBB10,False
EBB3,False
EBE12,False
EBG10,False
TEA9,False
TEB7,False
TEF2,False
TEG4,False
TEH11,False
11849233_E3,False
B12,False
HuF133,False
HuF15,False
HuF86,False
HuTA73,False
WR1,False
WR10,False
WR11,False
WR15,False
WR16,False
WR17,False
WR3,False
WR8,False
WR9,False
002.3B11,False
002.7F3,False
002.8E11,False
008.1F9,False
008.2E7,False
008.2F7,False
008.3A2,False
008.3C12,False
008.3D7,False
008.4A3,False
008.4B12,False
008.4B7,False
008.4D1,False
014.2B6,False
014.7A2,False
018.6G5,False
023.102,False
023.115,False
023.125,False
025.1C6,False
025.1H10,False
025.4E12,False
025.5D3,False
025.7A6,False
025.7F5,False
027.064,False
027.242,False
027.304,False
027.343,False
CL1,False
CL24,False
IS3,False
IS4,False
12663449_A10,False
12663449_C5,False
12663449_D2,False
12663449_E7,False
12663449_E9,False
C6,False
CP33,False
HA1,False
HA12,False
HA6,False
HA9,False
12E,False
26H,False
27D,False
80R,False
8C,False
91M,False
92N,False
001.5A1,False
